Date-obs_corrected_midexp),XPOS,YPOS,RA,DEC
2021-11-08T09:51:24.470,1054.51001,828.7019043,348.2162952,-10.57291721
2021-11-08T09:51:33.099,1054.785645,830.6254883,348.246421,-10.54535312
2021-11-08T09:51:41.609,1056.279297,833.9450073,348.2757388,-10.51844065
2021-11-08T09:51:49.999,1056.900513,837.4724121,348.3062552,-10.49068429
2021-11-08T09:51:58.709,1057.073486,839.0411377,348.3362905,-10.46326764
2021-11-08T09:52:07.260,1057.472534,839.6223145,348.3659959,-10.43619733
2021-11-08T09:52:15.669,1058.095337,838.6299438,348.3975903,-10.40724991
2021-11-08T09:52:24.910,1059.551025,835.8323364,348.427468,-10.37955308
2021-11-08T09:52:33.259,1059.269531,834.1394653,348.4575557,-10.35224261
2021-11-08T09:52:41.929,1059.741455,833.2717285,348.486742,-10.32557769
2021-11-08T09:52:50.459,1059.8479,831.0935059,348.5177888,-10.29694842
2021-11-08T09:52:58.849,1060.313965,830.2578125,348.546663,-10.27060229
2021-11-08T09:53:07.340,1060.356079,830.8369141,348.5760035,-10.2436467
2021-11-08T09:53:16.020,1060.608765,830.6933594,348.6059658,-10.21628696
2021-11-08T09:53:24.419,1060.39502,831.0698242,348.6356315,-10.18906758
2021-11-08T09:53:41.489,1060.514771,833.1435547,348.6942286,-10.13525454
2021-11-08T09:53:49.910,1060.944946,833.8607178,348.7244795,-10.10739499
2021-11-08T09:54:41.080,1061.511597,829.4221191,348.9025492,-9.943423991
2021-11-08T09:54:49.779,1061.700684,826.663269,348.931848,-9.916357312
2021-11-08T09:54:58.160,1062.227295,824.086731,348.9614206,-9.889013905
2021-11-08T09:56:23.579,1062.444458,831.2672119,349.2574712,-9.615731178
2021-11-08T09:56:40.700,1062.583008,827.4111938,349.316793,-9.560788285
2021-11-08T09:56:49.169,1062.864258,825.8894043,349.3464004,-9.533355233
2021-11-08T09:59:56.510,1062.700439,832.4102783,349.9908649,-8.934179284
2021-11-08T10:00:04.850,1062.665649,831.9313354,350.0200693,-8.906796568
2021-11-08T10:00:13.380,1061.99646,831.2610474,350.0491831,-8.879615089
2021-11-08T10:00:21.910,1062.461426,828.9676514,350.0781748,-8.852539385
2021-11-08T10:00:30.410,1061.940918,827.5755005,350.1071737,-8.825498959
2021-11-08T10:00:38.889,1061.970825,825.3013306,350.1368028,-8.79775652
2021-11-08T10:00:47.389,1061.874756,824.3433838,350.1660596,-8.770463958
2021-11-08T10:00:56.020,1061.383423,824.1903687,350.1952274,-8.74332378
2021-11-08T10:01:04.410,1061.85791,824.4229736,350.2243461,-8.716146133
2021-11-08T10:01:12.940,1061.807617,825.0063477,350.2533502,-8.688989314
2021-11-08T10:01:21.399,1062.084473,825.75177,350.2825792,-8.661682441
2021-11-08T10:01:29.820,1062.295654,827.1929321,350.3114056,-8.634729001
2021-11-08T10:01:38.239,1061.724121,828.1864624,350.3417339,-8.606492665
2021-11-08T10:01:47.190,1061.629639,829.4671631,350.3709193,-8.579101125
2021-11-08T10:01:55.620,1061.704834,830.2406006,350.3998235,-8.551950588
2021-11-08T10:02:04.240,1061.979736,830.892395,350.4300391,-8.524033197
2021-11-08T10:02:21.360,1061.739502,829.249939,350.4869175,-8.46960347
2021-11-08T10:02:29.899,1062.164551,827.1002808,350.5158928,-8.442360274
2021-11-08T10:02:38.319,1062.201416,824.4819336,350.5450209,-8.414915203
2021-11-08T10:03:46.590,1063.011597,829.3849487,350.7771536,-8.196837962
2021-11-08T10:05:20.630,1065.029541,825.6325684,351.096963,-7.895758763
2021-11-08T10:05:54.499,1066.12915,830.2958984,351.2121946,-7.786846162
2021-11-08T10:06:20.049,1066.067505,829.4227295,351.2986299,-7.705105735
2021-11-08T10:06:28.660,1066.450806,827.3752441,351.3276445,-7.677668695
2021-11-08T10:06:37.010,1066.717163,824.4837646,351.3564539,-7.650396998
2021-11-08T10:06:45.620,1067.216553,821.730835,351.3849464,-7.623323284
2021-11-08T10:06:54.179,1067.574707,819.3995972,351.4137787,-7.595929593
2021-11-08T10:07:02.719,1066.866699,818.1882935,351.4428308,-7.568462986
2021-11-08T10:07:11.229,1067.221802,818.616394,351.471806,-7.541151454
2021-11-08T10:07:19.700,1067.899536,820.6514893,351.5020725,-7.512360687
2021-11-08T10:07:28.619,1067.422729,824.4867554,351.5299793,-7.485943195
2021-11-08T10:07:36.959,1067.435791,827.8476563,351.5588614,-7.45847768
2021-11-08T10:07:45.609,1067.635254,830.1628418,351.5879014,-7.431021652
2021-11-08T10:08:37.039,1068.639526,823.9070435,351.7612329,-7.266106144
2021-11-08T10:08:45.480,1068.452637,823.4073486,351.789799,-7.239080272
2021-11-08T10:10:01.830,1068.306152,829.5292358,352.0471557,-6.994348407
2021-11-08T10:10:10.440,1067.9021,828.9013062,352.0760934,-6.966713256
2021-11-08T10:10:18.919,1068.557129,827.8161011,352.1039563,-6.940152
2021-11-08T10:10:27.389,1068.107666,825.4971313,352.1324949,-6.912829786
2021-11-08T10:10:35.849,1068.395752,822.6273193,352.1609731,-6.885656882
2021-11-08T10:10:44.440,1068.391602,819.9395142,352.1903529,-6.85761829
2021-11-08T10:10:53.300,1068.378906,817.4873047,352.2190851,-6.830175757
2021-11-08T10:11:01.710,1068.157471,816.5534058,352.2471884,-6.803389802
2021-11-08T10:11:10.169,1068.333008,817.0457153,352.275719,-6.77611609
2021-11-08T10:11:18.579,1068.249146,819.6589966,352.3040003,-6.749113708
2021-11-08T10:11:27.060,1068.025635,823.5318604,352.3322834,-6.722078831
2021-11-08T10:11:35.620,1068.054077,827.5465698,352.3604784,-6.695107022
2021-11-08T10:11:44.050,1067.449707,828.7677612,352.3892254,-6.667807639
2021-11-08T10:11:52.510,1067.509399,830.0493164,352.4174629,-6.640755866
2021-11-08T10:12:01.069,1067.267578,828.8057861,352.446447,-6.612946373
2021-11-08T10:12:09.649,1067.323242,827.015686,352.4745324,-6.585997545
2021-11-08T10:12:18.220,1067.611084,825.3071899,352.5031473,-6.558619122
2021-11-08T10:12:26.689,1067.182373,823.4332886,352.531126,-6.531766003
2021-11-08T10:12:35.020,1067.055054,822.3200073,352.5598283,-6.504387968
2021-11-08T10:12:43.609,1067.06189,822.1425781,352.587635,-6.477762628
2021-11-08T10:12:52.080,1067.150635,822.4793701,352.616345,-6.450173485
2021-11-08T10:13:00.620,1067.348511,822.1847534,352.6448389,-6.422746971
2021-11-08T10:13:09.119,1066.853027,823.3394165,352.6732524,-6.395647925
2021-11-08T10:13:17.590,1066.807373,824.1921997,352.7015704,-6.368405171
2021-11-08T10:13:26.060,1066.455688,825.9517822,352.7295711,-6.341530208
2021-11-08T10:13:34.480,1066.449951,826.9786377,352.7587473,-6.313609954
2021-11-08T10:13:43.289,1065.975098,828.6595459,352.7869689,-6.286547774
2021-11-08T10:13:51.730,1066.208008,829.5268555,352.8152235,-6.259434123
2021-11-08T10:14:00.139,1065.908203,829.0169678,352.8438642,-6.231937954
2021-11-08T10:14:08.810,1066.814819,828.4661865,352.8719513,-6.204786684
2021-11-08T10:14:17.369,1066.484741,827.2081299,352.9006789,-6.177309137
2021-11-08T10:14:25.739,1066.358032,824.6479492,352.9288048,-6.150121152
2021-11-08T10:14:34.310,1066.47522,821.5457153,352.9569814,-6.123092062
2021-11-08T10:14:42.730,1066.72229,818.8427124,352.9853452,-6.095735655
2021-11-08T10:14:51.219,1066.401001,817.3786621,353.0137494,-6.068369871
2021-11-08T10:14:59.789,1066.430786,816.6004639,353.0433876,-6.039768256
2021-11-08T10:15:08.850,1066.660034,817.4833984,353.0723383,-6.011926453
2021-11-08T10:15:17.369,1067.213257,820.104187,353.1008506,-5.984297677
2021-11-08T10:15:25.739,1066.791504,824.1503906,353.1287037,-5.95781948
2021-11-08T10:15:42.889,1066.872437,828.8218994,353.1861659,-5.902621697
2021-11-08T10:15:51.709,1066.936279,829.4712524,353.2144353,-5.875314203
2021-11-08T10:15:59.999,1067.69751,827.5916748,353.2422884,-5.848286716
2021-11-08T10:16:08.640,1067.218872,826.5219727,353.2706218,-5.821494191
