Date-obs_corrected_midexp,XPOS,YPOS,RA,DEC,,,,,
2022-03-02T11:48:22.980,1077.155518,963.4373169,101.7346617,5.866730378,,,,,
2022-03-02T11:48:32.360,1082.17334,963.3052368,101.7712878,5.866769233,,,,,
2022-03-02T11:48:41.069,1086.075562,963.494873,101.8073578,5.866888753,,,,,
2022-03-02T11:48:49.760,1089.485474,963.9142456,101.8444969,5.867128209,,,,, 
2022-03-02T11:48:58.489,1092.131104,963.3629761,101.8797324,5.867069349,,,,,
2022-03-02T11:49:07.180,1094.11084,962.9829712,101.9156854,5.86712288,,,,,
2022-03-02T11:49:15.630,1095.660522,963.4175415,101.9515408,5.86719455,,,,,
2022-03-02T11:49:24.090,1096.723145,963.1732788,101.986926,5.867256659,,,,,
2022-03-02T11:49:50.620,1098.123169,962.9802856,102.0975638,5.867511869,,,,,
2022-03-02T11:49:59.279,1099.224487,962.5355225,102.1340581,5.867526419,,,,,
2022-03-02T11:50:07.869,1099.699341,961.9907227,102.1695568,5.867473683,,,,,
2022-03-02T11:50:16.499,1099.442139,962.6785889,102.2064838,5.867704914,,,,,
2022-03-02T11:50:25.220,1099.493774,963.0302124,102.2422547,5.867919188,,,,,
2022-03-02T11:50:33.870,1099.789673,962.6442871,102.2803452,5.867887381,,,,,
2022-03-02T11:50:43.010,1100.275024,962.3856201,102.315911,5.867900753,,,,,
2022-03-02T11:50:51.440,1100.281128,961.8815308,102.3518151,5.867939988,,,,,
2022-03-02T11:51:00.099,1100.566284,962.571106,102.3875825,5.868059751,,,,,
2022-03-02T11:51:08.609,1100.612671,962.2380981,102.4229001,5.868079713,,,,,
2022-03-02T11:51:17.229,1100.0448,962.4393921,102.4591794,5.868272037,,,,,
2022-03-02T11:51:25.810,1100.111206,962.5684204,102.4945725,5.868419519,,,,,
2022-03-02T11:51:34.219,1100.677856,961.8251953,102.5302587,5.868312017,,,,,
2022-03-02T11:51:42.789,1100.645996,961.8477783,102.5660764,5.868369066,,,,,
2022-03-02T11:51:51.410,1100.560913,962.1757202,102.6018159,5.868543573,,,,,
2022-03-02T11:52:00.029,1100.650635,962.8015137,102.637398,5.868759411,,,,,
2022-03-02T11:52:08.430,1100.472656,962.1341553,102.6728468,5.868782654,,,,,
2022-03-02T11:52:16.919,1100.610596,962.3920898,102.7082334,5.868785591,,,,,
2022-03-02T11:52:25.310,1100.136108,962.6779175,102.7449718,5.869000629,,,,,
2022-03-02T11:52:34.219,1100.513672,961.6101685,102.7812251,5.868889518,,,,,
2022-03-02T11:52:42.870,1100.350708,962.0422974,102.8167834,5.869010568,,,,,
2022-03-02T11:52:51.330,1100.737793,961.8682251,102.8526758,5.869059915,,,,,
2022-03-02T11:52:59.950,1100.714233,962.0066528,102.8886292,5.869157272,,,,,
2022-03-02T11:53:08.529,1100.528442,961.7041016,102.9248232,5.869120573,,,,,
2022-03-02T11:53:17.249,1100.484619,962.1541748,102.9649215,5.869257701,,,,,
2022-03-02T11:53:26.770,1100.786743,962.0672607,103.000427,5.869345794,,,,,
2022-03-02T11:53:35.389,1100.198242,962.1151123,103.0362957,5.869576378,,,,,
2022-03-02T11:53:43.989,1100.328979,961.9243774,103.0725665,5.869555586,,,,,
2022-03-02T11:53:52.639,1100.347412,961.6916504,103.1087403,5.869590731,,,,,
2022-03-02T11:54:01.330,1099.775635,962.2952271,103.1445412,5.869749998,,,,,
2022-03-02T11:54:09.870,1100.342163,961.6829224,103.1808294,5.869759124,,,,,
2022-03-02T11:54:18.450,1100.286499,961.5073242,103.2159078,5.869719269,,,,,
2022-03-02T11:54:26.970,1100.164795,962.2888794,103.25152,5.869884339,,,,,
2022-03-02T11:54:35.739,1100.038452,961.604187,103.2874391,5.86992251,,,,,
2022-03-02T11:54:44.050,1099.778442,961.689209,103.3228365,5.870014191,,,,,
2022-03-02T11:54:52.580,1100.174438,961.7704468,103.3586276,5.870084465,,,,,
2022-03-02T11:55:01.120,1100.408691,961.300415,103.3944907,5.870093633,,,,,
2022-03-02T11:55:09.700,1100.454712,961.3872681,103.4302859,5.87021192,,,,,
2022-03-02T11:55:18.230,1100.959717,961.5284424,103.4658878,5.870363688,,,,,
2022-03-02T11:55:26.770,1100.306641,961.8861084,103.5017053,5.870382974,,,,,
2022-03-02T11:55:35.410,1100.439209,961.6164551,103.5371544,5.870539221,,,,,
2022-03-02T11:55:43.910,1100.901245,960.6549072,103.5731079,5.870300379,,,,,
2022-03-02T11:55:52.440,1100.251465,962.1350098,103.6082895,5.870782077,,,,,
2022-03-02T11:56:00.880,1100.078857,961.7147217,103.6438736,5.870810983,,,,,
2022-03-02T11:56:09.440,1100.288574,961.8178101,103.6799778,5.870859948,,,,,
2022-03-02T11:56:18.040,1099.677734,961.4315186,103.7156534,5.870795998,,,,,
2022-03-02T11:56:26.619,1100.286255,961.6728516,103.751322,5.87090389,,,,,
2022-03-02T11:56:34.969,1100.207886,961.5754395,103.7869994,5.87092065,,,,,
2022-03-02T11:56:43.739,1099.920166,961.5720825,103.8229603,5.87105243,,,,,
2022-03-02T11:56:52.340,1100.671265,961.1605835,103.8586692,5.871031343,,,,,
2022-03-02T11:57:00.840,1100.370972,961.5839844,103.8951711,5.871220868,,,,,
2022-03-02T11:57:09.579,1100.708374,960.9245605,103.9309913,5.871113291,,,,,
2022-03-02T11:57:18.099,1100.065918,961.3779907,103.9662327,5.871387435,,,,,
2022-03-02T11:57:26.599,1100.380981,961.2802124,104.0025409,5.87140938,,,,,
2022-03-02T11:57:35.230,1099.893311,961.156311,104.0386701,5.871490482,,,,,
2022-03-02T11:57:43.810,1099.941162,961.2605591,104.0741332,5.871608074,,,,,
2022-03-02T11:57:52.410,1099.992676,960.9191284,104.1097435,5.871595269,,,,,
2022-03-02T11:58:00.779,1099.716797,961.4259033,104.1453712,5.87177545,,,,,
2022-03-02T11:58:09.440,1100.182861,961.5913696,104.1810226,5.871909748,,,,,
2022-03-02T11:58:17.889,1099.564941,961.576416,104.2163832,5.871898104,,,,,
2022-03-02T11:58:26.410,1100.097778,961.5456543,104.2518982,5.872020102,,,,,
2022-03-02T11:58:34.940,1100.176636,960.9457397,104.287537,5.871892108,,,,,
2022-03-02T11:58:51.889,1100.049561,961.2313843,104.3591718,5.872058045,,,,,
2022-03-02T11:59:00.620,1100.127441,961.8178711,104.394777,5.872245996,,,,,
2022-03-02T11:59:09.199,1100.164795,962.0408325,104.4306215,5.872406737,,,,,
2022-03-02T11:59:17.739,1100.401978,961.7495728,104.4664377,5.872385278,,,,,
2022-03-02T11:59:34.929,1099.920288,961.4780884,104.5379717,5.872601669,,,,,
2022-03-02T11:59:43.359,1100.750854,961.6025391,104.5739635,5.872644817,,,,,
2022-03-02T11:59:52.029,1100.411865,961.1192017,104.609421,5.872703811,,,,,
2022-03-02T12:00:00.560,1100.199463,960.9445801,104.6447569,5.87268707,,,,,
2022-03-02T12:00:08.989,1100.187012,961.4155884,104.6802458,5.872889538,,,,,
2022-03-02T12:00:17.459,1099.941528,961.5578003,104.7160964,5.87296737,,,,,
